KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMNOMPRC,TMNOMPRC_FLG,TMYTM
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),,,,
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),,,,
2000003,FIXEDTERM,112,CRSP Fixed Term Index - 1-Year (Nominal),,,,
2000004,FIXEDTERM,212,CRSP Fixed Term Index - 2-Year (Nominal),,,,
2000005,FIXEDTERM,512,CRSP Fixed Term Index - 5-Year (Nominal),,,,
2000006,FIXEDTERM,712,CRSP Fixed Term Index - 7-Year (Nominal),,,,
2000007,FIXEDTERM,1012,CRSP Fixed Term Index - 10-Year (Nominal),,,,
2000008,FIXEDTERM,2012,CRSP Fixed Term Index - 20-Year (Nominal),,,,
2000009,FIXEDTERM,3012,CRSP Fixed Term Index - 30-Year (Nominal),,,,
2000010,TERMSTRUCT,1201,Fama T-Bill 12-Month Term Structure - 1 Month,,,,
2000011,TERMSTRUCT,1202,Fama T-Bill 12-Month Term Structure - 2 Month,,,,
2000012,TERMSTRUCT,1203,Fama T-Bill 12-Month Term Structure - 3 Month,,,,
2000013,TERMSTRUCT,1204,Fama T-Bill 12-Month Term Structure - 4 Month,,,,
2000014,TERMSTRUCT,1205,Fama T-Bill 12-Month Term Structure - 5 Month,,,,
2000015,TERMSTRUCT,1206,Fama T-Bill 12-Month Term Structure - 6 Month,,,,
2000016,TERMSTRUCT,1207,Fama T-Bill 12-Month Term Structure - 7 Month,,,,
2000017,TERMSTRUCT,1208,Fama T-Bill 12-Month Term Structure - 8 Month,,,,
2000018,TERMSTRUCT,1209,Fama T-Bill 12-Month Term Structure - 9 Month,,,,
2000019,TERMSTRUCT,1210,Fama T-Bill 12-Month Term Structure - 10 Month,,,,
2000020,TERMSTRUCT,1211,Fama T-Bill 12-Month Term Structure - 11 Month,,,,
2000021,TERMSTRUCT,1212,Fama T-Bill 12-Month Term Structure - 12 Month,,,,
2000022,TERMSTRUCT,601,Fama T-Bill 6-Month Term Structure - 1 Month,,,,
2000023,TERMSTRUCT,602,Fama T-Bill 6-Month Term Structure - 2 Month,,,,
2000024,TERMSTRUCT,603,Fama T-Bill 6-Month Term Structure - 3 Month,,,,
2000025,TERMSTRUCT,604,Fama T-Bill 6-Month Term Structure - 4 Month,,,,
2000026,TERMSTRUCT,605,Fama T-Bill 6-Month Term Structure - 5 Month,,,,
2000027,TERMSTRUCT,606,Fama T-Bill 6-Month Term Structure - 6 Month,,,,
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,,,,
2000029,BONDMATPORT,6012,Fama Maturity Portfolios - > 6 and <= 12 Month,,,,
2000030,BONDMATPORT,6018,Fama Maturity Portfolios - > 12 and <= 18 Month,,,,
2000031,BONDMATPORT,6024,Fama Maturity Portfolios - > 18 and <= 24 Month,,,,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,,,,
2000033,BONDMATPORT,6036,Fama Maturity Portfolios - > 30 and <= 36 Month,,,,
2000034,BONDMATPORT,6042,Fama Maturity Portfolios - > 36 and <= 42 Month,,,,
2000035,BONDMATPORT,6048,Fama Maturity Portfolios - > 42 and <= 48 Month,,,,
2000036,BONDMATPORT,6054,Fama Maturity Portfolios - > 48 and <= 54 Month,,,,
2000037,BONDMATPORT,6060,Fama Maturity Portfolios - > 54 and <= 60 Month,,,,
2000038,BONDMATPORT,6120,Fama Maturity Portfolios - > 60 and <= 120 Month,,,,
2000039,BONDMATPORT,6121,Fama Maturity Portfolios - > 120 Month,,,,
2000040,BONDMATPORT,12012,Fama Maturity Portfolios - <= 12 Month,,,,
2000041,BONDMATPORT,12024,Fama Maturity Portfolios - > 12 and <= 24 Month,,,,
