YEAR,MONTH,dp,dg,rf,re
1927,12,-3.143676371,0.129873707,0.053717824,0.29879075
1928,1,-3.142008903,0.105342157,0.042354066,0.283000072
1928,2,-3.117329871,0.101963217,0.04894937,0.233187249
1928,3,-3.203713097,0.07781801,0.043085959,0.307919664
1928,4,-3.242533308,0.084212134,0.042786663,0.34342515
1928,5,-3.240422853,0.076427764,0.042918829,0.305990159
1928,6,-3.185893186,0.095940355,0.060677024,0.301554411
1928,7,-3.196208426,0.065787444,0.043684006,0.220886798
1928,8,-3.243986062,0.051361664,0.038285692,0.258216407
1928,9,-3.285417424,0.025871867,0.033053335,0.234696392
1928,10,-3.299024063,0.035649468,0.046208895,0.304550999
1928,11,-3.382767227,0.042489373,0.04214019,0.345917674
1928,12,-3.376355333,0.068131975,0.046373347,0.334411824
1929,1,-3.414441154,0.080564675,0.0472707,0.385362257
1929,2,-3.400152715,0.073212099,0.035941631,0.388858482
1929,3,-3.373964177,0.100301828,0.04230518,0.304232896
1929,4,-3.388886703,0.104465914,0.049600854,0.284008625
1929,5,-3.294801049,0.116993604,0.05072751,0.207776456
1929,6,-3.406137388,0.084727232,0.041122792,0.337602282
1929,7,-3.433572114,0.091792816,0.02959443,0.360918177
1929,8,-3.507927532,0.083053336,0.03039156,0.376513742
1929,9,-3.439400432,0.121776742,0.042817126,0.307339728
1929,10,-3.199466972,0.134494699,0.037517843,0.074911823
1929,11,-3.078633867,0.091734632,0.037418216,-0.167404248
1929,12,-3.083557085,0.091809927,0.040477765,-0.156209939
1930,1,-3.122395977,0.103262725,0.044313473,-0.145673639
1930,2,-3.143040334,0.100945036,0.049580566,-0.113921018
1930,3,-3.222197563,0.072623748,0.049714825,-0.040049708
1930,4,-3.190272147,0.07072569,0.036419644,-0.087552748
1930,5,-3.194369924,0.031359119,0.046425365,-0.028897569
1930,6,-3.005725151,0.07016414,0.055735055,-0.281931526
1930,7,-3.048611298,0.074692939,0.07804272,-0.263933357
1930,8,-3.048184262,0.073961619,0.080992608,-0.339427792
1930,9,-2.907525096,0.056462832,0.073653988,-0.422240793
1930,10,-2.823345025,0.032637036,0.076006446,-0.285775695
1930,11,-2.829254986,0.015524995,0.079691476,-0.176475152
1930,12,-2.756925398,0.007008212,0.09006227,-0.258070659
1931,1,-2.833687468,-0.01902786,0.096831367,-0.250604289
1931,2,-2.941449919,-0.024391101,0.101029056,-0.174538556
1931,3,-2.884911472,-0.02544916,0.099324398,-0.308379902
1931,4,-2.793895613,-0.039978042,0.110356893,-0.376970812
1931,5,-2.673286829,-0.036660377,0.115747336,-0.490996474
1931,6,-2.815544127,-0.057156892,0.121074003,-0.189189646
1931,7,-2.760519787,-0.081468913,0.10769963,-0.308221818
1931,8,-2.795926411,-0.123163809,0.101057675,-0.31615487
1931,9,-2.481880891,-0.145804522,0.111846904,-0.491172944
1931,10,-2.578166163,-0.156977548,0.112593482,-0.328986724
1931,11,-2.476859714,-0.109114034,0.120427556,-0.380845299
1931,12,-2.361330692,-0.144245752,0.108591718,-0.449730447
1932,1,-2.375099153,-0.147812672,0.11765203,-0.517469959
1932,2,-2.456904349,-0.171072615,0.120975812,-0.573393395
1932,3,-2.371130969,-0.197365292,0.122003047,-0.621876495
1932,4,-2.196181732,-0.206153356,0.123040362,-0.698402387
1932,5,-2.004786149,-0.223177591,0.124246398,-0.765319582
1932,6,-2.042964438,-0.267836557,0.117814654,-0.918513866
1932,7,-2.377437623,-0.297383952,0.117514789,-0.591733858
1932,8,-2.732879182,-0.298854566,0.124894896,-0.298897154
1932,9,-2.730629813,-0.298023448,0.125685332,0.013867608
1932,10,-2.625699622,-0.313696349,0.125687495,-0.196273932
1932,11,-2.621061736,-0.38202063,0.118222405,-0.167615902
1932,12,-2.697138846,-0.38450204,0.117901754,0.016530095
1933,1,-2.721308558,-0.373378458,0.110327317,0.036545951
1933,2,-2.600079494,-0.388578151,0.109270491,-0.17376381
1933,3,-2.653236125,-0.377803622,0.108859401,-0.027644619
1933,4,-2.997772065,-0.377109207,0.101591017,0.473174252
1933,5,-3.213742021,-0.371896015,0.086898109,0.876478512
1933,6,-3.353753167,-0.351478263,0.07166689,0.993666407
1933,7,-3.254409897,-0.340148049,0.040556678,0.574701338
1933,8,-3.400588625,-0.345140328,0.025571971,0.355378582
1933,9,-3.292968158,-0.328546548,0.018037018,0.270262037
1933,10,-3.198598449,-0.292572598,0.010446361,0.320334492
1933,11,-3.261168113,-0.210820878,0.002899155,0.466912233
1933,12,-3.310118273,-0.212054578,-0.004605459,0.436785939
1934,1,-3.417636086,-0.204065838,-0.019590498,0.524525429
1934,2,-3.374218442,-0.162080378,-0.042262996,0.645730139
1934,3,-3.36815427,-0.137406016,-0.050368116,0.611385078
1934,4,-3.340015121,-0.11145078,-0.051267621,0.265615277
1934,5,-3.250378384,-0.076000825,-0.051567546,-0.001337211
1934,6,-3.271389246,-0.05382892,-0.051253023,-0.098941698
1934,7,-3.133272983,-9.02E-06,-0.020342772,-0.078493672
1934,8,-3.122166533,0.102208537,-0.012938132,-0.133095061
1934,9,-3.124800638,0.087462818,-0.027853203,-0.037697232
1934,10,-3.10728122,0.088545479,-0.020473096,0.040979436
1934,11,-3.19361616,0.05008663,-0.020573081,0.022738806
1934,12,-3.165764787,0.118548332,-0.013238087,0.015511312
1935,1,-3.126115446,0.096402607,-0.028453053,-0.152165876
1935,2,-3.095722487,0.088119219,-0.028231888,-0.146127999
1935,3,-3.049673296,0.088468483,-0.028331873,-0.183726031
1935,4,-3.139630295,0.067937239,-0.035604632,-0.090059969
1935,5,-3.158653596,0.068369415,-0.035604632,0.0182499
1935,6,-3.204621502,0.089616607,-0.020841201,0.062621593
1935,7,-3.279295894,0.065661362,-0.020841201,0.248647402
1935,8,-3.314759007,-0.007239446,-0.020841201,0.221051011
1935,9,-3.315206609,0.03819765,-0.006026115,0.264285911
1935,10,-3.371785803,0.041512635,-0.013406222,0.339769428
1935,11,-3.369022264,0.090723452,-0.020578997,0.299973608
1935,12,-3.395839516,0.070776363,-0.028013975,0.333814198
1936,1,-3.4462136,0.097477385,-0.013198889,0.448944416
1936,2,-3.45676368,0.109522228,-0.005972834,0.501608151
1936,3,-3.453947489,0.122903479,0.00139991,0.558308604
1936,4,-3.358121807,0.144523828,0.008772654,0.397224053
1936,5,-3.350755635,0.186838958,0.008872639,0.413398318
1936,6,-3.355468271,0.180651341,-0.005472919,0.365796176
1936,7,-3.402987106,0.192941347,-0.012693167,0.349364698
1936,8,-3.361024277,0.246261064,-0.019761672,0.326637573
1936,9,-3.345298244,0.246641381,-0.019761672,0.31137567
1936,10,-3.400814518,0.248473982,-0.019661687,0.310304873
1936,11,-3.278863427,0.355677397,-0.012488912,0.302497385
1936,12,-3.203925677,0.413008611,-0.012588907,0.260894643
1937,1,-3.235137016,0.39176453,-0.019706375,0.219288094
1937,2,-3.236937956,0.387068386,-0.01960639,0.205774678
1937,3,-3.214618593,0.379624104,-0.034046302,0.179679997
1937,4,-3.132555819,0.367547289,-0.040963899,0.184663521
1937,5,-3.098696727,0.3281666,-0.047532729,0.120227876
1937,6,-3.026882411,0.344302631,-0.040259969,0.063045393
1937,7,-3.109209493,0.330746307,-0.039760204,0.080637411
1937,8,-3.047322533,0.297991689,-0.032591715,0.030682854
