H,b_re,b_dg,b_dp
1,0.06920611743403143,0.13959236436065278,0.7918591573472941
2,0.15150714200962953,0.2107363872145529,0.638361294959381
3,0.2108281443163201,0.23131240090444768,0.5580959641119336
4,0.2777170281716263,0.23685651011892248,0.48532833332935105
5,0.35774437934581815,0.2332952332483239,0.4082581326154675
6,0.3988500260749237,0.23474659762167996,0.3651838733420557
7,0.4437773071024567,0.22922008449485998,0.3253769546194077
8,0.5139310698812225,0.23897829347091978,0.24533608923175018
9,0.5774133585219217,0.2253935277508485,0.19561179979309007
10,0.6193517576186193,0.20859128034899108,0.17102730320521747
11,0.6807346809677989,0.21430999380956253,0.10413898094963162
12,0.7419369288927207,0.2376599095918725,0.019694318314436143
13,0.7673772369742002,0.25734085625598535,-0.025556561477357367
14,0.7770932075831565,0.2699413208966607,-0.048017468445888334
15,0.7720272289532938,0.2806870295483195,-0.05389985981717729
16,0.7692935120483123,0.27251183294440434,-0.04344828391643287
17,0.7712306700215432,0.2618309879439893,-0.03511619315195184
18,0.8144703913004195,0.21683765329752583,-0.0339165417390697
19,0.8558183376900195,0.16647346995563186,-0.025174624953271118
20,0.8752501814560923,0.14559368975550652,-0.023832891830990622
