H,b_re,b_dg,b_dp,coefficient_sum
1,0.06883321076648921,0.14054345908004753,0.7906233301534633,1
2,0.1460808459399148,0.2100578533769049,0.6438613006831804,1
3,0.2030999115522746,0.2570095697395838,0.5398905187081416,1
4,0.24927917464489432,0.29744934394936523,0.4532714814057404,1
5,0.28815639236038226,0.3319268141592536,0.3799167934803641,1
6,0.320808656922759,0.36081124386701957,0.31838009921022137,0.9999999999999999
7,0.34815763340007455,0.384978500163465,0.26686386643646043,1
8,0.3710612034965341,0.4052183657096735,0.22372043079379234,1
9,0.39024495940771153,0.42217226494890425,0.18758277564338421,1
10,0.4063134755635639,0.4363731050001403,0.1573134194362958,1
11,0.41977253914770735,0.4482677464923331,0.1319597143599595,1
12,0.431045885176123,0.4582307208148362,0.11072339400904085,1
13,0.4404884702568399,0.46657573643878575,0.09293579330437435,1
14,0.448397606423777,0.4735655457787495,0.0780368477974735,1
15,0.4550223214663225,0.47942023002576395,0.06555744850791356,1
16,0.46057120164925924,0.48432413019869147,0.055104668152049285,1
17,0.4652189594827189,0.48843165093889224,0.0463493895783888,1
18,0.46911193467349294,0.49187212200352537,0.03901594332298175,1
19,0.47237270177483975,0.4947538703608801,0.0328734278642801,1
20,0.4751039295808344,0.49716763098798666,0.027728439431178975,1
