H,alpha,beta,adjusted_r_squared
1,-0.03141087888868205,2.803802742996315,0.045661881773575996
2,-0.029801046585867644,2.68576950750958,0.09086419482787533
3,-0.018071659603162468,2.3903314727803644,0.1194372942884877
4,-0.018169162268055417,2.4172557058052893,0.1788608998386989
5,-0.015830228249415393,2.400605317772156,0.25415927850981246
6,-0.004206011692983444,2.122872011617605,0.2813463719445436
7,0.0015514468525042874,1.977576905360317,0.3108822201032835
8,0.0019506613598792434,1.9596868203394193,0.3488902187211419
9,0.0030050563144464297,1.9109238078616757,0.35831997697887075
10,0.0050697627178538625,1.838109952460041,0.3614928035375884
11,0.0034690378713340443,1.8617645051648406,0.386897707226147
12,0.001901858827483243,1.8823082145497427,0.41883081471868167
13,0.0034587318967323143,1.8406375754566748,0.4340491600980654
14,0.006493588632216791,1.7710262051390286,0.4432245172337461
15,0.011971540630216855,1.6447325492022655,0.4212919753842468
